100000	決定
100001	実行
100002	
100003	編集
100004	
100005	
100006	
100007	
100008	装備／はずす
100020	移動
100021	
100022	
100023	
100024	
100025	
100026	
100027	
100028	
100029	
100030	次へ
100050	削除
110000	戻る
110001	閉じる
120000	はずす
120001	使用
120002	作成完了
120003	保護状態の切替
120004	
120005	表示切替（右）
120006	
120007	
120008	テスト再生
120009	
120010	表示切替（中）
120011	表示切替（中）
120012	必要素材
120013	
120014	
120015	
120016	
120017	
120018	
120019	
120020	ソート
120021	
120022	
120023	
120024	
120025	
120026	
120027	
120028	
120029	
120030	閉じずに実行
120031	
120032	
120033	
120034	
120035	
120036	
120037	
120038	
120039	
120040	コピー
120041	調整前と比較
120042	
120043	
120044	
120045	元に戻す
120046	
120047	
120048	
120049	
120050	自動補充する
120051	自動補充しない
120052	
120053	
120054	
120055	
120056	
120057	
120058	
120059	
120060	履歴表示
120080	兜の表示
120081	兜の非表示
120082	
120083	
120084	
120085	
120086	
120087	
120088	
120089	
120090	削除
120091	
120092	
120093	
120094	
120095	
120096	
120097	
120098	
120099	
120100	昇順
120101	降順
120102	
120103	
120104	
120105	
120106	
120107	
120108	
120109	
120110	光柱配置
120111	光柱削除
120112	円卓に移動
130000	表示切替（右）
130001	表示切替
130002	
130003	
130004	
130005	アクションの切替
130006	
130007	
130008	
130009	
130010	簡易表示
130011	詳細表示
130012	
130013	
130014	
130015	ステータス表示
130016	ステータス非表示
130017	
130018	
130019	
130020	色調整
130021	
130022	
130023	
130024	
130025	
130026	
130027	
130028	
130029	
130030	付け替え
130031	
130032	
130033	
130034	
130035	
130036	
130037	
130038	
130039	
130040	合言葉設定
130041	
130042	
130043	
130044	
130045	設定
130063	終了する
130064	
130065	
130066	
130067	
130068	
130069	
130070	マーカー
130071	祝福一覧
130072	表示祝福の切替
130090	初期化
130091	
130092	
130093	
130094	
130095	
130096	
130097	
130098	
130099	
130100	ルール詳細
140000	メニュータブの切替
140001	
140002	メッセージ形式の切替
140003	
140004	装備箇所の変更
140039	色相を大きく変更
140040	１０ずつ増減
140041	-10
140042	+10
140043	
140044	
140045	
140046	
140047	
140048	
140049	
140050	地下表示
140051	
140052	
140053	
140054	
140055	
140056	
140057	
140058	
140059	
140060	地上表示
140061	
140062	
140063	
140064	
140065	
140066	
140067	
140068	
140069	
140070	マルチプレイ状況表示
140071	
140072	
140073	
140074	
140075	
140076	
140077	
140078	
140079	
140080	マルチプレイ状況非表示
140081	
140082	
140083	
140084	
140085	
140086	
140087	
140088	
140089	
140090	縮小
140091	拡大
140092	
140093	
140094	
140095	
140096	
140097	
140098	
140099	
140100	タブ切替
140101	
140102	
140103	
140104	
140105	
140106	
140107	
140108	
140109	
140110	祝福をマーク
140111	マークの解除
140112	
140113	
140114	
140115	
140116	
140117	
140118	
140119	
140120	上下との入れ替え
150000	木箱を操作
150001	インベントリを操作
150002	
150003	
150004	ページ送り
150005	ページ上送り
150006	ページ下送り
150040	ズーム
160000	ヘルプ
160001	
160002	
160003	
160004	
160005	
160006	
160007	
160008	
160009	
160010	戻る
160011	
160012	
160013	
160014	
160015	
160016	
160017	
160018	
160019	
160020	スキップ
160021	
160022	
160023	
160024	
160025	
160026	
160027	
160028	
160029	
160030	地図
160031	
160032	
160033	
160034	
160035	
160036	
160037	
160038	
160039	
160040	地図を閉じる
200000	選択
200001	設定値の変更
200002	
200003	
200004	
200005	
200006	ページ送り
202910	色相
203000	祝福の選択
204000	マーカー選択
301000	カーソル移動
302360	ズーム
302910	彩度・明度
310040	回転
320000	詳細比較表示
320001	カメラリセット
320040	表示切替
320041	
320042	
320043	
320044	
320045	
320046	
320047	
320048	
320049	
320050	現在地にフォーカス
400003	削除
400004	評価
400005	悪評
